t_index term df
982 acolyt 1
983 acosta 1
984 acquaint 1
985 acquiesc 1
986 acquir 5
987 acquisit 1
988 acquit 5
989 acquitt 3
990 acrimoni 2
991 acrobat 5
992 acronym 1
993 acrosstheboard 1
994 act 135
995 action 94
996 actionc 1
997 activ 89
998 activist 19
999 actor 4
1000 actress 2
1001 actual 66
1002 ad 119
1003 adam 8
1004 adapt 5
1005 add 18
1006 addali 1
1007 adden 1
1008 addit 71
1009 addition 4
1010 address 64
1011 adem 1
1012 aden 169
1013 adenabyan 5
1014 adenbas 1
1015 adequ 7
1016 adher 4
1017 adiksa 1
1018 adjac 4
1019 adjam 2
1020 adjoin 3
1021 adjourn 3
1022 adjust 7
1023 adlai 1
1024 adm 44
1025 admen 1
1026 administ 9
1027 administr 115
1028 administrationmedi 1
1029 admir 38
1030 admiralti 1
1031 admiringli 1
1032 admiss 2
1033 admit 40
1034 ado 2
1035 adob 1
1036 adolesc 2
1037 adopt 17
1038 adorn 1
1039 adoubi 1
1040 adrain 1
1041 adrenalin 1
1042 adriat 1
1043 adrift 4
1044 adult 10
1045 advanc 66
1046 advani 1
1047 advantag 21
1048 adventist 1
1049 adventur 2
1050 advers 2
1051 adversari 2
1052 advertis 12
1053 advic 6
1054 advis 83
1055 advisor 10
1056 advisori 2
1057 advoc 13
1058 advocaci 2
1059 aegi 5
1060 aegiss 1
1061 aerial 3
1062 aeroflot 1
1063 affabl 1
1064 affair 48
1065 affect 29
1066 affection 1
1067 affili 6
1068 affirm 6
1069 afflict 1
1070 afford 7
1071 affront 2
1072 afghan 15
1073 afghanarab 1
1074 afghanbas 3
1075 afghanistan 46
1076 afi 2
1077 afibia 1
1078 afield 1
1079 afir 2
1080 aflcio 2
1081 afloat 13
1082 afoul 1
1083 afraid 28
1084 afredo 1
1085 africa 65
1086 african 48
1087 africanamerican 1
1088 aft 3
1089 aftehock 1
1090 aftermath 14
1091 afternoon 59
1092 aftershock 43
1093 afterward 11
1094 afundament 1
1095 ag 35
1096 agarw 1
1097 agassi 47
1098 agbayani 1
1099 agenc 117
1100 agenda 14
1101 agent 83
1102 agglomer 1
1103 aggrav 12
1104 aggress 24
1105 agil 1
1106 agit 1
1107 ago 207
1108 agon 6
1109 agoni 3
1110 agonizingli 1
1111 agre 77
1112 agreement 49
1113 agricultur 15
1114 agustin 1
1115 ah 1
1116 aha 1
1117 ahead 53
1118 ahemdabad 1
1119 ahm 15
1120 ahmad 1
1121 ahmadabad 2
1122 ahmar 1
1123 ahmedabad 20
1124 ahold 1
1125 ahren 1
1126 ai 1
1127 aid 158
1128 aida 2
1129 ail 5
1130 ailment 1
1131 aim 35
1132 ainst 1
1133 air 170
1134 aircondition 1
1135 aircraft 27
1136 airdrop 2
1137 airfield 1
1138 airforc 1
